analysis_type,scope,model,dropped_component,aggregation_level,n,estimate,ci_low,ci_high,p_value,delta_rho,n_boot,source_file
leave_one_species_out,species_pair_different_species,ResNet,Bos taurus,NA,56,-0.238392,NA,NA,0.07683883889168806,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Canis lupus familiaris,NA,56,-0.051699,NA,NA,0.7051259711072972,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Equus caballus,NA,56,-0.138959,NA,NA,0.30707089728986453,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Equus ferus przewalskii,NA,56,-0.074677,NA,NA,0.5843847140747627,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Erinaceus europaeus,NA,56,0.056623,NA,NA,0.6785045712206808,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Giraffa camelopardalis,NA,56,0.007386,NA,NA,0.9569167473301058,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Procyon lotor,NA,56,-0.156876,NA,NA,0.2482370162895337,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Vulpes vulpes,NA,56,-0.066881,NA,NA,0.624309479758438,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,none (full),NA,72,-0.089871,NA,NA,0.45279969619409266,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Bison bonasus,NA,56,-0.115708,NA,NA,0.39576523403018904,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Bos taurus,NA,56,-0.162347,NA,NA,0.23191414672043428,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Canis lupus familiaris,NA,56,-0.024892,NA,NA,0.8555013605926686,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Equus caballus,NA,56,-0.248923,NA,NA,0.06431455725792476,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Equus ferus przewalskii,NA,56,0.044451,NA,NA,0.7449572778968406,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Erinaceus europaeus,NA,56,-0.104356,NA,NA,0.444027455870472,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Giraffa camelopardalis,NA,56,-0.211311,NA,NA,0.11796971438766672,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Procyon lotor,NA,56,-0.205703,NA,NA,0.12827463953961857,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,Vulpes vulpes,NA,56,-0.047459,NA,NA,0.728336038616583,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,HYDRA,none (full),NA,72,-0.116697,NA,NA,0.3289557997342587,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Bison bonasus,NA,56,-0.355741,NA,NA,0.00712983694105235,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Bos taurus,NA,56,-0.33673,NA,NA,0.01116143350005795,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Canis lupus familiaris,NA,56,-0.246871,NA,NA,0.06661640928515111,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
