source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Bos taurus,Giraffa camelopardalis,ResNet,0.2744888390654026,1,0.42857142857142855,0.36363636363636365,FALSE,no
Bos taurus,Procyon lotor,ResNet,0.22269310054125535,2,0.6788826297023017,0.6441374310226768,FALSE,no
Bos taurus,Vulpes vulpes,ResNet,0.1948995044459122,2,0.6314534675190414,0.4927431156939354,FALSE,no
Canis lupus familiaris,Bison bonasus,ResNet,0.426733456916961,2,0.5846150600248959,0.4629368563794793,FALSE,no
Canis lupus familiaris,Bos taurus,ResNet,0.3547121951219102,2,0.5970209084963184,0.47083148722492985,FALSE,no
Canis lupus familiaris,Canis lupus familiaris,ResNet,0.3981964215649353,2,0,0,TRUE,yes
Canis lupus familiaris,Equus caballus,ResNet,0.4461809170992696,2,0.3080891195645294,0.286965803359246,FALSE,no
Canis lupus familiaris,Equus ferus przewalskii,ResNet,0.233353584984992,2,0.3151992742156676,0.2914904472281521,FALSE,no
Canis lupus familiaris,Erinaceus europaeus,ResNet,0.37958033642775196,2,0.7125029010274913,0.817047300653858,FALSE,no
Canis lupus familiaris,Giraffa camelopardalis,ResNet,0.18106604370812163,2,0.644639956115366,0.5920436084370511,FALSE,no
Canis lupus familiaris,Procyon lotor,ResNet,0.45048471608970936,4,0.5580521973964597,0.567245337737141,FALSE,no
Canis lupus familiaris,Vulpes vulpes,ResNet,0.409932982788358,4,0.03443255902272295,0.11282071937809643,FALSE,no
Equus caballus,Bison bonasus,ResNet,0.31414614746469355,1,0.27652594046036666,0.17597105302023333,FALSE,no
Equus caballus,Bos taurus,ResNet,0.1674568778482132,1,0.28893178893178895,0.18386568386568386,FALSE,no
Equus caballus,Canis lupus familiaris,ResNet,0.5900591368778092,2,0.3080891195645294,0.286965803359246,FALSE,no
Equus caballus,Equus ferus przewalskii,ResNet,0.2551264585135361,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus caballus,Erinaceus europaeus,ResNet,0.1566419921933401,1,0.7348777348777348,0.8312858312858311,FALSE,no
Equus caballus,Giraffa camelopardalis,ResNet,0.19925410907224328,1,0.4794079794079794,0.39598689598689596,FALSE,no
Equus caballus,Procyon lotor,ResNet,0.499720474974652,2,0.6280460788657509,0.6117868986721445,FALSE,no
Equus caballus,Vulpes vulpes,ResNet,0.5879909157062223,2,0.3425216785872523,0.30887743182825145,FALSE,no
Equus ferus przewalskii,Bison bonasus,ResNet,0.7398454407645688,1,0.2694157858092284,0.17144640915132717,FALSE,no
Equus ferus przewalskii,Bos taurus,ResNet,0.40432015487653744,1,0.28182163428065066,0.1793410399967777,FALSE,no
Equus ferus przewalskii,Canis lupus familiaris,ResNet,0.352054582279018,2,0.3151992742156676,0.2914904472281521,FALSE,no
Equus ferus przewalskii,Equus caballus,ResNet,0.2082699331713702,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus ferus przewalskii,Erinaceus europaeus,ResNet,0.06970936357439425,1,0.7419878895288731,0.8358104751547374,FALSE,no
Equus ferus przewalskii,Giraffa camelopardalis,ResNet,0.19924948322030656,1,0.4722978247568412,0.39146225211798985,FALSE,no
Equus ferus przewalskii,Procyon lotor,ResNet,0.4881158610173692,2,0.6351562335168891,0.6163115425410507,FALSE,no
Equus ferus przewalskii,Vulpes vulpes,ResNet,0.3930481777153788,2,0.34963183323839064,0.31340207569715767,FALSE,no
Erinaceus europaeus,Bison bonasus,ResNet,0.2520260513364571,1,0.7733084372428635,0.8557417327909131,FALSE,no
Erinaceus europaeus,Bos taurus,ResNet,0.43724917369810906,1,0.7857142857142857,0.8636363636363636,FALSE,no
Erinaceus europaeus,Canis lupus familiaris,ResNet,0.25222511927003355,2,0.7125029010274913,0.817047300653858,FALSE,no
Erinaceus europaeus,Equus caballus,ResNet,0.07063842260474847,1,0.7348777348777348,0.8312858312858311,FALSE,no
Erinaceus europaeus,Equus ferus przewalskii,ResNet,0.13925485196203427,1,0.7419878895288731,0.8358104751547374,FALSE,no
Erinaceus europaeus,Giraffa camelopardalis,ResNet,0.21102205537333707,1,0.9285714285714286,0.9545454545454546,FALSE,no
Erinaceus europaeus,Procyon lotor,ResNet,0.2587054238069855,2,0.6782602274405554,0.6740443871591414,FALSE,no
Erinaceus europaeus,Vulpes vulpes,ResNet,0.1372756102770615,2,0.6780703420047682,0.7951356721848526,FALSE,no
Giraffa camelopardalis,Bison bonasus,ResNet,0.1360833479000231,1,0.4409772770428509,0.37153099448181415,FALSE,no
Giraffa camelopardalis,Bos taurus,ResNet,0.06024607551972846,1,0.42857142857142855,0.36363636363636365,FALSE,no
